what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1519199221233
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519199226213
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1519199294462
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519199297265
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1519199303000
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519199305340
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1519199351611
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519199365397
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519199412586
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519199426652
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519199479085
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519199480619
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519199482175
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519199485121
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519199488220
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519199491277
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519199494755
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519199503840
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519199506018
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1519199778468
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519199782259
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1519199878683
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1519199882009
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519199909339
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519200306071
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1519200311641
